id,note,details,null
1,Meter Damaged,Meter Damaged,null
2,Vibration,Meter has unusual vibration.,null
3,Low Flow,Water flow is low and may be too low for meter,null
4,Pumping Sand,Pumping sand. Meter may need a sand trap.,null
5,Variable Speed Control,Meter is attached to a pump with a variable speed controller,null
6,Pump off,Pump is shut off.,null
7,Register Needle Broken,Register needle has been broken.,null
8,Not pumping,Not pumping despite pump being on.,null
9,Weeds,Weeds Obstructing Meter,null
10,Back Pressure,Back Pressure,null
11,Valve Pinched,Valve Pinched Down,null
12,Seal Missing,No Seal On Meter,null
13,Canopy Moisture,Moisture in Canopy,null
14,Working on Arrival,Meter was working when technician arrived,working
15,Not Working on Arrival,Meter was not working when technician arrived,not-working
16,Working Status Not Checked,not-checked,not-checked
17,Pipe obstruction,Pipe is obstructed and water flow is either low or non-existent,null
